"","Point.Forecast","Lo.95","Hi.95"
"Oct 2023",261188.837196202,237899.331003094,284478.34338931
"Nov 2023",214723.457104569,186899.973034903,242546.941174234
"Dec 2023",221278.786510486,189847.499577008,252710.073443964
"Jan 2024",185874.886696966,151449.147481791,220300.625912141
"Feb 2024",204388.981860358,167415.341241878,241362.622478838
"Mar 2024",223845.089332224,184667.722909801,263022.455754648
"Apr 2024",232242.75658839,191137.129526468,273348.383650312
"May 2024",279644.338169574,236836.883236781,322451.793102368
"Jun 2024",297084.986308697,252765.54122037,341404.431397023
"Jul 2024",325124.638632469,279454.781942404,370794.495322534
"Aug 2024",313900.6142035,267019.513011035,360781.715395965
"Sep 2024",297042.908766189,249071.573389094,345014.244143284
"Oct 2024",255510.638357673,205018.268074106,306003.008641241
"Nov 2024",209269.787103546,157056.399540096,261483.174666996
"Dec 2024",216040.766968401,162288.620804011,269792.913132791
